,customer_name,gender,age,city,state,order_date,delivery_date,sales_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,stock,month,delivery_days
0,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-04-04,2021-04-06,2245,106,3,318,Shirt,Chambray,S,red,72,4,2
1,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-04-04,2021-04-06,2246,91,2,182,Jacket,Pullover,L,yellow,43,4,2
2,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-03-06,2021-04-01,3324,98,2,196,Jacket,Leather,XS,red,67,3,26
3,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-03-06,2021-04-01,3325,91,2,182,Jacket,Pullover,M,blue,44,3,26
4,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-03-06,2021-04-01,3326,98,1,98,Shirt,Camp Collared,XL,red,79,3,26
5,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-03-06,2021-04-01,3327,91,3,273,Jacket,Pullover,XL,green,65,3,26
6,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-02-18,2021-03-01,3639,98,3,294,Shirt,Camp Collared,M,blue,65,2,11
7,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,2021-02-18,2021-03-01,3640,98,1,98,Jacket,Leather,L,violet,78,2,11
8,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,2021-05-21,2021-05-23,2292,115,3,345,Trousers,Cropped,L,violet,40,5,2
9,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,2021-05-21,2021-05-23,2293,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,60,5,2
10,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,2021-05-21,2021-05-23,2294,117,1,117,Jacket,Shearling,S,orange,53,5,2
11,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,2021-05-21,2021-05-23,2295,119,1,119,Shirt,Casual Slim Fit,L,blue,75,5,2
12,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,2021-05-21,2021-05-23,2296,106,2,212,Trousers,Wool,XS,violet,80,5,2
13,Susanetta Wilshin,Bigender,70,Joelburgh,Western Australia,2021-03-09,2021-03-29,2990,90,3,270,Trousers,Relaxed Leg,L,orange,78,3,20
14,Michaeline McIndrew,Agender,39,Georgeland,Northern Territory,2021-05-28,2021-06-05,2800,91,2,182,Shirt,Linen,XL,red,47,5,8
15,Michaeline McIndrew,Agender,39,Georgeland,Northern Territory,2021-05-28,2021-06-05,2801,100,2,200,Jacket,Bomber,XS,violet,75,5,8
16,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,2021-06-19,2021-07-01,630,91,1,91,Jacket,Pullover,XS,red,54,6,12
